spring_boot,spring_data_neo4j,neo4j_ogm,neo4j_java_driver,minimum_java_version,release_date,end_of_oss_support,end_of_commercial_support
2.1.2.RELEASE,5.1.4.RELEASE,3.1.6,1.6.3,8,2019-01-12,2019-02-15,2019-02-15
2.1.1.RELEASE,5.1.3.RELEASE,3.1.5,1.6.3,8,2018-11-30,2019-01-12,2019-01-12
2.1.0.RELEASE,5.1.2.RELEASE,3.1.4,1.6.3,8,2018-10-30,2018-11-30,2018-11-30
2.0.9.RELEASE,5.0.14.RELEASE,3.1.8,1.6.3,8,2019-04-03,2019-03-01,2020-06-01
2.0.8.RELEASE,5.0.13.RELEASE,3.1.6,1.6.3,8,2019-01-11,2019-03-01,2019-04-03
2.0.7.RELEASE,5.0.12.RELEASE,3.1.5,1.6.3,8,2018-11-30,2019-01-11,2019-01-11
2.0.6.RELEASE,5.0.11.RELEASE,3.1.4,1.6.3,8,2018-10-16,2018-11-30,2018-11-30
2.0.5.RELEASE,5.0.10.RELEASE,3.1.2,1.5.0,8,2018-09-12,2018-10-16,2018-10-16
2.0.4.RELEASE,5.0.9.RELEASE,3.1.0,1.5.0,8,2018-07-30,2018-09-12,2018-09-12
2.0.3.RELEASE,5.0.8.RELEASE,3.1.0,1.5.0,8,2018-06-14,2018-07-30,2018-07-30
2.0.2.RELEASE,5.0.7.RELEASE,3.1.0,1.5.0,8,2018-05-09,2018-06-14,2018-06-14
2.0.1.RELEASE,5.0.6.RELEASE,3.1.0,1.5.0,8,2018-04-05,2018-05-09,2018-05-09
2.0.0.RELEASE,5.0.5.RELEASE,3.1.0,1.5.0,8,2018-03-01,2018-04-05,2018-04-05
1.5.22.RELEASE,4.2.23.RELEASE,2.1.6,,7,2019-08-06,2019-08-06,2020-11-06
1.5.21.RELEASE,4.2.22.RELEASE,2.1.6,,7,2019-05-14,2019-08-06,2019-08-06
1.5.20.RELEASE,4.2.20.RELEASE,2.1.6,,7,2019-04-03,2019-05-14,2019-05-14
1.5.19.RELEASE,4.2.18.RELEASE,2.1.6,,7,2019-01-11,2019-04-03,2019-04-03
1.5.18.RELEASE,4.2.17.RELEASE,2.1.6,,7,2018-11-29,2019-01-11,2019-01-11
1.5.17.RELEASE,4.2.16.RELEASE,2.1.6,,7,2018-10-16,2018-11-29,2018-11-29
1.5.16.RELEASE,4.2.15.RELEASE,2.1.6,,7,2018-09-11,2018-10-16,2018-10-16
1.5.15.RELEASE,4.2.14.RELEASE,2.1.6,,7,2018-07-30,2018-09-11,2018-09-11
1.5.14.RELEASE,4.2.13.RELEASE,2.1.6,,7,2018-06-14,2018-07-30,2018-07-30
1.5.13.RELEASE,4.2.12.RELEASE,2.1.6,,7,2018-05-09,2018-06-14,2018-06-14
1.5.12.RELEASE,4.2.11.RELEASE,2.1.6,,7,2018-04-10,2018-05-09,2018-05-09
1.5.11.RELEASE,4.2.11.RELEASE,2.1.6,,7,2018-04-05,2018-04-10,2018-04-10
1.5.10.RELEASE,4.2.10.RELEASE,2.1.6,,7,2018-01-31,2018-04-05,2018-04-05
1.5.9.RELEASE,4.2.9.RELEASE,2.1.5,,7,2017-11-28,2018-01-31,2018-01-31
1.5.8.RELEASE,4.2.8.RELEASE,2.1.5,,7,2017-10-17,2017-11-28,2017-11-28
1.5.7.RELEASE,4.2.7.RELEASE,2.1.5,,7,2017-09-12,2017-10-17,2017-10-17
1.5.6.RELEASE,4.2.6.RELEASE,2.1.3,,7,2017-07-27,2017-09-12,2017-09-12
1.5.5.RELEASE,4.2.5.RELEASE,2.1.3,,7,2017-07-26,2017-07-27,2017-07-27
1.5.4.RELEASE,4.2.4.RELEASE,2.1.3,,7,2017-06-08,2017-07-26,2017-07-26
1.5.3.RELEASE,4.2.3.RELEASE,2.1.2,,7,2017-04-21,2017-06-08,2017-06-08
1.5.2.RELEASE,4.2.1.RELEASE,2.1.1,,7,2017-03-03,2017-04-21,2017-04-21
1.5.1.RELEASE,4.2.0.RELEASE,2.1.1,,7,2017-01-30,2017-03-03,2017-03-03
1.5.0.RELEASE,4.2.0.RELEASE,2.1.1,,7,2017-01-30,2017-01-30,2017-01-30
1.4.7.RELEASE,4.1.11.RELEASE,2.0.6,,7,2017-06-08,,
1.4.6.RELEASE,4.1.10.RELEASE,2.0.6,,7,2017-04-20,2017-06-08,2017-06-08
1.4.5.RELEASE,4.1.8.RELEASE,2.0.6,,7,2017-03-03,2017-04-20,2017-04-20
1.4.4.RELEASE,4.1.7.RELEASE,2.0.6,,7,2017-01-26,2017-03-03,2017-03-03
1.4.3.RELEASE,4.1.6.RELEASE,2.0.6,,7,2016-12-23,2017-01-26,2017-01-26
1.4.2.RELEASE,4.1.5.RELEASE,2.0.5,,7,2016-11-08,2016-12-23,2016-12-23
1.4.1.RELEASE,4.1.3.RELEASE,2.0.5,,7,2016-09-21,2016-11-08,2016-11-08
1.4.0.RELEASE,4.1.2.RELEASE,2.0.4,,7,2016-07-28,2016-09-21,2016-09-21
